prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests
Canada,43901,0,103,0,2,103,11052,4846
Canada,43902,0,138,3,2,141,15214,6739
Canada,43903,0,176,3,2,179,15214,9889
Canada,43904,0,193,6,2,199,22438,13209
Canada,43905,0,249,4,2,253,25006,17357
Canada,43906,0,324,17,5,341,37759,21876
Canada,43907,0,424,16,8,440,44205,26907
Canada,43908,0,569,28,9,597,53575,34193
Canada,43909,0,846,27,12,873,65880,42801
Canada,43910,0,971,33,13,1004,76843,50068
Canada,43911,0,1302,69,18,1371,88912,58195
Canada,43912,0,1430,41,20,1471,98853,68730
Canada,43913,0,1646,445,24,2091,107223,79877
Canada,43914,0,1959,833,27,2792,125138,90468
Canada,43915,0,3385,24,35,3409,147865,101538
Canada,43916,0,4018,25,39,4043,161679,112449
Canada,43917,0,4675,14,53,4689,170720,124666
Canada,43918,0,5386,39,59,5425,187524,137153
Canada,43919,0,6255,3,61,6258,210511,152595
Canada,43920,0,7424,13,89,7437,225781,164718
Canada,43921,0,8536,12,96,8548,241214,178318
Canada,43922,0,9595,18,109,9613,256009,192339
Canada,43923,0,11268,15,138,11283,273742,208760
Canada,43924,0,12519,18,187,12537,295141,223618
Canada,43925,0,13882,22,231,13904,312047,238679
Canada,43926,0,15496,16,280,15512,324861,251171
Canada,43927,0,16653,14,323,16667,336882,261979
Canada,43928,0,17883,14,380,17897,342046,269825
Canada,43929,0,19274,15,435,19289,362045,278552
Canada,43930,0,20748,17,509,20765,375378,289379
Canada,43931,0,22133,15,569,22148,391451,300011
Canada,43932,0,23301,17,653,23317,404727,312421
Canada,43933,0,24365,18,717,24383,422276,324486
Canada,43934,0,25663,17,780,25680,437551,335915
Canada,43935,0,27046,17,903,27063,455059,347084
Canada,43936,0,28364,17,1015,28381,467812,359691
Canada,43937,0,30081,11,1198,30092,487701,372222
Canada,43938,0,31872,12,1314,31884,507777,386119
Canada,43939,0,33340,13,1472,33353,528133,399762
Canada,43940,0,34776,9,1585,34785,549425,415678
Canada,43941,0,36822,8,1695,36830,559654,438683
Canada,43942,0,38412,9,1839,38421,569954,460055
Canada,43943,0,40179,11,1979,40190,612268,481180
Canada,43944,0,42099,11,2151,42110,634993,505372
Canada,43945,0,43877,11,2307,43888,660184,530351
Canada,43946,0,45341,13,2470,45354,684347,559114
Canada,43947,0,46884,11,2565,46895,707584,586081
Canada,43948,0,48489,11,2712,48500,733781,613599
Canada,43949,0,50015,11,2864,50026,754876,640576
Canada,43950,0,51587,10,3001,51597,779689,664330
Canada,43951,0,53225,11,3189,53236,806525,692108
Canada,43952,0,55050,11,3396,55061,836997,722784
Canada,43953,0,56703,11,3571,56714,866311,757028
Canada,43954,0,59463,11,3687,59474,897520,789350
Canada,43955,0,60761,11,3859,60772,919444,823469
Canada,43956,0,62035,11,4048,62046,942602,852042
Canada,43957,0,63484,11,4237,63495,973634,874055
Canada,43958,0,64910,11,4413,64921,1005294,902008
Canada,43959,0,66422,11,4574,66433,1034905,933526
Canada,43960,0,67690,11,4698,67701,1071455,967073
Canada,43961,0,68836,11,4876,68847,1097520,1003372
Canada,43962,0,69969,11,4998,69980,1121629,1037402
Canada,43963,0,71144,11,5174,71155,1145568,1065122
Canada,43964,0,72265,11,5309,72276,1172872,1089235
Canada,43965,0,73476,11,5477,73487,1203588,1120608
Canada,43966,0,74602,11,5572,74613,1236746,1155817
Canada,43967,0,75853,11,5689,75864,1270254,1193389
Canada,43968,0,76991,11,5792,77002,1300729,1231243
Canada,43969,0,78061,11,5852,78072,1323447,1266322
Canada,43970,0,79101,11,5922,79112,1339971,1290260
Canada,43971,0,80112,11,6040,80123,1375126,1308948
Canada,43972,0,81313,11,6162,81324,1379731,1330479
Canada,43973,0,82469,11,6260,82480,1405284,1358522
Canada,43974,0,83610,11,6365,83621,1431987,1389533
Canada,43975,0,84688,11,6434,84699,1459288,1420798
Canada,43976,0,85700,11,6555,85711,1482468,1452296
Canada,43977,0,86636,11,6649,86647,1502990,1477996
Canada,43978,0,87508,11,6775,87519,1530931,1501086
Canada,43979,0,88501,11,6887,88512,1585235,1533862
Canada,43980,0,89407,11,6989,89418,1596449,1572747
Canada,43981,0,90179,11,7083,90190,1634277,1613063
Canada,43982,0,90936,11,7305,90947,1665831,1655117
Canada,43983,0,91694,11,7336,91705,1695918,1693572
Canada,43984,0,92399,11,7405,92410,1724250,1725035
Canada,43985,0,93074,11,7508,93085,1755926,1754561
Canada,43986,0,93715,11,7647,93726,1791106,1790252
Canada,43987,0,94324,11,7713,94335,1830498,1831447
Canada,43988,0,95046,11,7783,95057,1868277,1873869
Canada,43989,0,95688,11,7810,95699,1896822,1918112
Canada,43990,0,96233,11,7845,96244,1930141,1956236
Canada,43991,0,96642,11,7905,96653,1955719,1986224
Canada,43992,0,97114,11,7968,97125,1989255,2013633
Canada,43993,0,97519,11,8004,97530,2028496,2052798
Canada,43994,0,97932,11,8059,97943,2072096,2096926
Canada,43995,0,98399,11,8117,98410,2113924,2146743
Canada,43996,0,98776,11,8156,98787,2152776,2194241
Canada,43997,0,99136,11,8190,99147,2183476,2236719
Canada,43998,0,99456,11,8228,99467,2216730,2274339
Canada,43999,0,99842,11,8269,99853,2254481,2311002
Canada,44000,0,100209,11,8315,100220,2295440,2354977
Canada,44001,0,100618,11,8361,100629,2339563,2402050
Canada,44002,0,101008,11,8425,101019,2382781,2452379
Canada,44003,0,101326,11,8445,101337,2415441,2500508
Canada,44004,0,101626,11,8451,101637,2444118,2544303
Canada,44005,0,101952,11,8469,101963,2482869,2581509
