Dates,Total Cases,Confirmed Positive,Positivity Rate,Total Tests,Daily New Cases
2020-03-11,103,103,0.021254643,4846,35
2020-03-12,141,138,0.020922986,6739,14
2020-03-13,179,176,0.01810092,9889,72
2020-03-14,199,193,0.015065486,13209,23
2020-03-15,253,249,0.014576252,17357,60
2020-03-16,341,324,0.015587859,21876,154
2020-03-17,440,424,0.016352622,26907,82
2020-03-18,597,569,0.017459714,34193,200
2020-03-19,873,846,0.02039672,42801,189
2020-03-20,1004,971,0.020052728,50068,254
2020-03-21,1371,1302,0.023558725,58195,478
2020-03-22,1471,1430,0.02140259,68730,392
2020-03-23,2091,1646,0.026177748,79877,555
2020-03-24,2792,1959,0.030861741,90468,585
2020-03-25,3409,3385,0.033573637,101538,498
2020-03-26,4043,4018,0.035954077,112449,867
2020-03-27,4689,4675,0.037612501,124666,699
2020-03-28,5425,5386,0.039554366,137153,836
2020-03-29,6258,6255,0.041010518,152595,930
2020-03-30,7437,7424,0.045149893,164718,1106
2020-03-31,8548,8536,0.047936832,178318,1125
2020-04-01,9613,9595,0.049979463,192339,1281
2020-04-02,11283,11268,0.05404771,208760,1692
2020-04-03,12537,12519,0.05606436,223618,1340
2020-04-04,13904,13882,0.058253973,238679,1347
2020-04-05,15512,15496,0.061758722,251171,1569
2020-04-06,16667,16653,0.063619603,261979,1046
2020-04-07,17897,17883,0.066328176,269825,1337
2020-04-08,19289,19274,0.069247394,278552,1296
2020-04-09,20765,20748,0.071757107,289379,1379
2020-04-10,22148,22133,0.07382396,300011,1244
2020-04-11,23317,23301,0.074633267,312421,1307
2020-04-12,24383,24365,0.075143458,324486,1219
2020-04-13,25680,25663,0.076447911,335915,1634
2020-04-14,27063,27046,0.077972479,347084,1626
2020-04-15,28381,28364,0.078903837,359691,1660
2020-04-16,30092,30081,0.080844227,372222,2567
2020-04-17,31884,31872,0.082575579,386119,2086
2020-04-18,33353,33340,0.083432142,399762,1482
2020-04-19,34785,34776,0.083682562,415678,1668
2020-04-20,36830,36822,0.083955841,438683,1565
2020-04-21,38421,38412,0.083513928,460055,1743
2020-04-22,40190,40179,0.083523837,481180,2307
2020-04-23,42110,42099,0.083324759,505372,1669
2020-04-24,43888,43877,0.082752743,530351,1697
2020-04-25,45354,45341,0.081117625,559114,1563
2020-04-26,46895,46884,0.080014537,586081,1432
2020-04-27,48500,48489,0.07904185,613599,1619
2020-04-28,50026,50015,0.078095339,640576,1676
2020-04-29,51597,51587,0.077667725,664330,1764
2020-04-30,53236,53225,0.076918631,692108,1655
2020-05-01,55061,55050,0.076179052,722784,1833
2020-05-02,56714,56703,0.074916648,757028,1474
2020-05-03,59474,59463,0.075345537,789350,1160
2020-05-04,60772,60761,0.073799985,823469,1560
2020-05-05,62046,62035,0.072820354,852042,1357
2020-05-06,63495,63484,0.07264417,874055,1603
2020-05-07,64921,64910,0.071973863,902008,1443
2020-05-08,66433,66422,0.071163524,933526,1339
2020-05-09,67701,67690,0.070006091,967073,1160
2020-05-10,68847,68836,0.068615628,1003372,1091
2020-05-11,69980,69969,0.067456974,1037402,1150
2020-05-12,71155,71144,0.066804554,1065122,1197
2020-05-13,72276,72265,0.066354827,1089235,1224
2020-05-14,73487,73476,0.065577793,1120608,1121
2020-05-15,74613,74602,0.064554337,1155817,1263
2020-05-16,75864,75853,0.063570219,1193389,1180
2020-05-17,77002,76991,0.062540051,1231243,1121
2020-05-18,78072,78061,0.061652565,1266322,1041
2020-05-19,79112,79101,0.061314774,1290260,1150
2020-05-20,80123,80112,0.061211752,1308948,1305
2020-05-21,81324,81313,0.061123851,1330479,1162
2020-05-22,82480,82469,0.06071304,1358522,1164
2020-05-23,83621,83610,0.060179211,1389533,1009
2020-05-24,84699,84688,0.059613682,1420798,926
2020-05-25,85711,85700,0.059017583,1452296,948
2020-05-26,86647,86636,0.058624651,1477996,805
2020-05-27,87519,87508,0.058303788,1501086,878
2020-05-28,88512,88501,0.057705322,1533862,839
2020-05-29,89418,89407,0.056854663,1572747,835
2020-05-30,90190,90179,0.055912261,1613063,751
2020-05-31,90947,90936,0.054948985,1655117,683
2020-06-01,91705,91694,0.054148864,1693572,842
2020-06-02,92410,92399,0.053569928,1725035,661
2020-06-03,93085,93074,0.053053157,1754561,667
2020-06-04,93726,93715,0.052353523,1790252,625
2020-06-05,94335,94324,0.051508452,1831447,666
2020-06-06,95057,95046,0.050727666,1873869,548
2020-06-07,95699,95688,0.04989229,1918112,667
2020-06-08,96244,96233,0.049198563,1956236,521
2020-06-09,96653,96642,0.048661682,1986224,489
2020-06-10,97125,97114,0.048233715,2013633,495
2020-06-11,97530,97519,0.047510763,2052798,449
2020-06-12,97943,97932,0.046707895,2096926,430
2020-06-13,98410,98399,0.045841538,2146743,411
2020-06-14,98787,98776,0.045021035,2194241,327
2020-06-15,99147,99136,0.044326981,2236719,369
2020-06-16,99467,99456,0.043734465,2274339,366
2020-06-17,99853,99842,0.043207665,2311002,408
2020-06-18,100220,100209,0.042556679,2354977,401
2020-06-19,100629,100618,0.041892966,2402050,403
2020-06-20,101019,101008,0.041192246,2452379,419
2020-06-21,101337,101326,0.040526565,2500508,305
2020-06-22,101637,101626,0.039946893,2544303,356
2020-06-23,101963,101952,0.039497441,2581509,394
2020-06-24,102242,102231,0.039131844,2612757,356
2020-06-25,102622,102611,0.038660873,2654415,324
2020-06-26,102794,102783,0.038049459,2701589,251
2020-06-27,103032,103021,0.037461087,2750374,337
2020-06-28,103250,103239,0.036823815,2803892,373
2020-06-29,103918,103907,0.036441474,2851641,384
2020-06-30,104204,104193,0.035999858,2894567,297
2020-07-01,104204,104193,0.035514143,2934155,197
2020-07-02,104771,104760,0.035164933,2979417,357
2020-07-03,105090,105079,0.034752766,3023932,320
2020-07-04,105316,105305,0.03435781,3065271,213
2020-07-05,105535,105524,0.033994005,3104518,187
2020-07-06,105934,105923,0.033682193,3145104,415
2020-07-07,106166,106155,0.033414662,3177228,255
2020-07-08,106433,106422,0.033176366,3208097,329
2020-07-09,106804,106793,0.032861263,3250149,315
2020-07-10,107125,107114,0.032472965,3298898,340
2020-07-11,107346,107335,0.032026775,3351758,176
2020-07-12,107590,107579,0.031595414,3405241,159
2020-07-13,108155,108144,0.031285254,3457060,673
2020-07-14,108486,108475,0.031016817,3497651,387
2020-07-15,108827,108816,0.03080566,3532695,361
2020-07-16,109264,109253,0.030519647,3580120,447
2020-07-17,109669,109658,0.030171135,3634898,470
2020-07-18,109999,109988,0.029782892,3693362,346
2020-07-19,110338,110327,0.029395192,3753607,255
2020-07-20,111124,111113,0.029180757,3808126,751
2020-07-21,111697,111684,0.028996196,3852126,505
2020-07-22,112240,112227,0.028793315,3898127,349
2020-07-23,112672,112659,0.028517157,3951025,658
2020-07-24,113206,113193,0.028243798,4008172,714
2020-07-25,113556,113543,0.027900483,4070037,346
2020-07-26,113911,113898,0.027567078,4132139,297
2020-07-27,114597,114584,0.027363083,4188015,626
2020-07-28,114994,114980,0.027138777,4237258,361
2020-07-29,115406,115392,0.026968354,4279312,487
2020-07-30,115799,115785,0.02670797,4335747,415
2020-07-31,116312,116298,0.026445917,4398108,557
2020-08-01,116599,116585,0.026138462,4460821,226
2020-08-02,116884,116870,0.025806942,4529169,196
2020-08-03,117031,117017,0.025494717,4590402,226
2020-08-04,117792,117777,0.025409481,4635750,713
2020-08-05,118187,118172,0.025264705,4677949,344
2020-08-06,118561,118546,0.025097922,4723937,313
2020-08-07,118985,118970,0.024886985,4781013,536
2020-08-08,119221,119206,0.024633456,4839800,233
2020-08-09,119451,119436,0.024383811,4898783,212
2020-08-10,120132,120117,0.024227146,4958570,630
2020-08-11,120421,120406,0.024056867,5005681,345
2020-08-12,120844,120829,0.023930353,5049821,309
2020-08-13,121234,121234,0.023748904,5104825,471
2020-08-14,121652,121652,0.023540025,5167879,413
2020-08-15,121889,121889,0.023295487,5232301,206
2020-08-16,122087,122087,0.023043079,5298207,156
2020-08-17,122872,122872,0.02295843,5351934,209
2020-08-18,123154,123154,0.022796249,5402380,901
2020-08-19,123490,123490,0.022656334,5450573,333
2020-08-20,123873,123873,0.022490684,5507747,236
2020-08-21,124372,124372,0.02233518,5568435,707
2020-08-22,124629,124629,0.022125755,5632757,209
2020-08-23,124896,124896,0.021933339,5694345,259
2020-08-24,125646,125646,0.021854048,5749324,753
2020-08-25,125969,125969,0.021748818,5791993,345
2020-08-26,126417,126417,0.021664315,5835264,461
2020-08-27,126818,126848,0.021531351,5889923,467
